Score;Genres;Type;Episodes;Studios;Source
8.48;Slice of Life, Comedy, School, Shounen;TV;26;Kyoto Animation;Manga
8.48;Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen;TV;25;Wit Studio;Manga
8.48;Slice of Life, Comedy, Supernatural, School, Shounen;TV;24;J.C.Staff, Egg Firm;Manga
8.48;Harem, Comedy, Romance, Ecchi, School;Movie;1;CloverWorks;Light novel
8.46;Music, Slice of Life, Comedy, Drama, Romance, Shoujo;TV;47;Madhouse;Manga
8.46;Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural;Special;1;Artland;Manga
8.46;Mystery, Comedy, Supernatural, Vampire;TV;12;Shaft;Light novel
8.46;Slice of Life, Comedy, Drama, Romance, School;TV;12;feel.;Light novel
8.46;Action, Adventure, Historical, Seinen;TV;12;Geno Studio;Manga
8.45;Action, Comedy, Demons, Supernatural, Martial Arts, Shounen;TV;112;Studio Pierrot;Manga
8.45;Action, Military, Sci-Fi, Police, Mecha, Seinen;TV;26;Production I.G;Manga
8.45;Comedy, Drama, Romance, Shounen, Sports;TV;25;SynergySP;Manga
8.45;Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen;TV;12;Wit Studio;Manga
8.45;Action, Adventure, Supernatural, Drama, Shounen;TV;24;David Production;Manga
8.45;Comedy, School, Shounen, Slice of Life, Supernatural;TV;120;J.C.Staff, Egg Firm;Manga
8.45;Drama, Fantasy;Movie;1;P.A. Works;Original
8.45;Action, Adventure, Drama, Shoujo;TV;24;MAPPA;Manga
8.45;Comedy, Sports, Drama;TV;23;Production I.G;Novel
8.44;Action, Mystery, Supernatural, Romance, Thriller;Movie;1;ufotable;Light novel
8.44;Mystery, Psychological, Drama, Magic, Thriller;Movie;1;Shaft;Original
8.44;Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen;Movie;2;Sunrise;Manga
8.44;Music, Fantasy;Music;1;Bones;Game
8.43;Comedy, Drama, Romance, School, Shounen, Sports;TV;50;SynergySP;Manga
8.43;Slice of Life, Josei;TV;11;Production I.G;Manga
8.43;Drama, Game, Josei, School, Slice of Life, Sports;TV;25;Madhouse;Manga
8.43;Drama, Game, Seinen, Slice of Life;TV;22;Shaft;Manga
8.43;Comedy, Psychological, Romance, School, Seinen;TV;12;A-1 Pictures;Manga
8.43;Action, Mystery, Historical, Supernatural;ONA;8;B.CMAY PICTURES;Novel
8.43;Drama, Music, Romance, School, Shounen;TV;13;Platinum Vision;Manga
8.42;Action, Adventure, Super Power, Fantasy, Shounen;TV;62;Nippon Animation;Manga
8.42;Mystery, Historical, Horror, Demons, Psychological, Supernatural, Fantasy, Seinen;TV;12;Toei Animation;Original
8.42;Action, Comedy, Historical, Mystery, Supernatural;TV;13;Brain's Base;Light novel
8.42;Slice of Life, Supernatural, Drama;TV;11;A-1 Pictures;Original
8.41;Comedy, Slice of Life;TV;12;Kinema Citrus;Web manga
8.41;Comedy, Parody;OVA;2;Bandai Namco Pictures;Manga
8.41;Action, Drama, Fantasy, Mystery, Seinen;TV;12;Orange;Manga
8.41;Demons, Drama, Shoujo, Slice of Life, Supernatural;Movie;1;Shuka;Manga
8.41;Slice of Life, Comedy, Seinen;TV;12;Zero-G;Manga
8.41;Slice of Life, Drama, Romance, Fantasy;Movie;1;CoMix Wave Films;Original
8.4;Adventure, Fantasy;Movie;1;Topcraft;Manga
8.4;Action, Military, Horror, Supernatural, Vampire, Seinen;OVA;10;Madhouse, Satelight, Graphinica;Manga
8.4;Vampire;Movie;1;Shaft;Light novel
8.4;Comedy, Drama, Romance, Shounen;TV;25;J.C.Staff;Manga
8.4;Action, Sci-Fi, Horror, Psychological, Drama, Seinen;TV;24;Madhouse;Manga
8.4;Slice of Life, Demons, Supernatural, Drama, Shoujo;Special;2;Shuka;Manga
8.4;Slice of Life, Drama, Fantasy;Movie;1;Kyoto Animation;Light novel
8.58;Comedy;ONA;12;Unknown;Other
8.39;Action, Drama, Mystery, Sci-Fi, Space;Movie;1;Bones;Original
8.39;Drama, Magic, Psychological, Thriller;Movie;1;Shaft;Original
8.39;Action, Military, Historical, Seinen;TV;39;Studio Pierrot;Manga
8.39;Comedy, Sports, Drama, School, Shounen;TV;13;Production I.G;Manga
8.38;Comedy, Drama, Shounen, Sports;TV;25;SynergySP;Manga
8.38;Psychological, Drama, Magic, Thriller;TV;12;Shaft;Original
8.38;Drama, Romance, Shoujo, Supernatural;Movie;1;Brain's Base;Manga
8.38;Action, Sci-Fi, Police, Psychological;TV;22;Production I.G;Original
8.38;Action, Fantasy, Shoujo;OVA;2;Wit Studio;Visual novel
8.38;Comedy, Supernatural, Drama, Romance, School;TV;13;CloverWorks;Light novel
8.38;Action, Adventure, Mystery, Comedy, Psychological;ONA;23;Wit Studio;Original
8.37;Action, Military, Sci-Fi, Space, Drama;OVA;26;Xebec, AIC;Original
8.37;Comedy, Demons, Supernatural, Romance, Fantasy, Shoujo;OVA;4;TMS Entertainment;Manga
8.37;Mystery, Psychological, Supernatural, Seinen;TV;12;A-1 Pictures;Manga
8.37;Drama, Magic, Fantasy;TV;11;Studio Bind;Light novel
8.36;Romance, Supernatural, Mystery, Vampire;TV;15;Shaft;Light novel
8.36;Adventure, Historical, Romance, Fantasy;TV;12;Brain's Base, Marvy Jack;Light novel
8.36;Action, Adventure, Historical, Martial Arts, Romance;TV;12;White Fox;Light novel
8.36;Action, Mecha, Military, Sci-Fi, Shounen, Space;OVA;6;Sunrise;Manga
8.36;Drama, Josei, Music, Romance, School;TV;12;Tezuka Productions, MAPPA;Manga
8.35;Adventure, Drama, Historical, Slice of Life;TV;33;Nippon Animation;Novel
8.35;Action, Sci-Fi, Psychological, Drama, Mecha;Movie;1;Khara;Original
8.35;Sports, Psychological, Seinen;TV;25;Madhouse;Manga
8.35;Drama, Fantasy, Slice of Life;TV;50;Production I.G, Trans Arts;Novel
8.35;Comedy, Drama, Shounen, Sports;OVA;2;SynergySP;Manga
8.35;Drama, Horror, Mystery, Psychological, Sci-Fi, Supernatural;TV;25;A-1 Pictures;Novel
8.35;Slice of Life, Demons, Supernatural, Drama, Shoujo;OVA;1;Brain's Base;Manga
8.35;Comedy, Drama;TV;24;P.A. Works;Original
8.35;Slice of Life, Comedy, Seinen;TV;12;SILVER LINK.;Manga
8.35;Adventure, Drama, Fantasy;Movie;1;Unknown;Original
8.34;Action, Adventure, Psychological, Slice of Life;TV;13;A.C.G.T.;Light novel
8.34;Action, Sci-Fi, Comedy, Historical, Parody;Special;1;Sunrise;Manga
8.34;Action, Supernatural, Magic, Fantasy;TV;13;ufotable;Light novel
8.34;Sci-Fi, Comedy, Thriller;Special;1;White Fox;Visual novel
8.34;Comedy, Sports, School, Shounen;TV;25;Production I.G;Manga
8.34;Sci-Fi, Music;Music;1;A-1 Pictures;Music
8.34;Sci-Fi, Adventure, Mystery, Drama, Fantasy;Movie;1;Kinema Citrus;Web manga
8.34;Sci-Fi, Adventure, Shounen;TV;24;TMS Entertainment;Manga
8.33;Action, Adventure, Super Power, Shounen;OVA;8;Nippon Animation;Manga
8.33;Military, Historical, Drama, Romance, Shoujo;TV;40;Tokyo Movie Shinsha;Manga
8.33;Comedy, Psychological, Drama, Romance;TV;24;Gonzo;Novel
8.33;Slice of Life, Demons, Supernatural, Drama, Shoujo;TV;13;Brain's Base;Manga
8.33;Music, Slice of Life, Comedy;Movie;1;Kyoto Animation;4-koma manga
8.33;Action, Fantasy, Magic, Supernatural;TV;13;ufotable;Visual novel
8.33;Adventure, Supernatural;Movie;1;Studio Chizu;Original
8.33;Action, Comedy, Super Power, School, Shounen;TV;25;Bones;Manga
8.33;Slice of Life, Demons, Supernatural, Drama, Shoujo;Special;2;Shuka;Manga
8.33;Action, Adventure, Historical, Supernatural, Drama;ONA;11;Haoliners Animation League;Novel
8.24;Action, Adventure, Historical, Romance, Martial Arts, Fantasy;ONA;12;Sparkly Key Animation Studio;Novel
8.32;Action, Sci-Fi, Dementia, Psychological, Drama, Mecha;TV;26;Gainax, Tatsunoko Production;Original
8.32;Music, Slice of Life, Comedy, Drama, Romance, Josei;TV;23;J.C.Staff;Manga
8.32;Comedy, Sports, School, Shounen;TV;51;Production I.G, Madhouse;Manga
8.32;Slice of Life, Romance, School, Shounen Ai;Movie;1;A-1 Pictures;Manga
8.32;Game, Supernatural, Drama, Romance, Fantasy;Movie;1;Madhouse;Light novel
8.32;Drama, Fantasy, Slice of Life;Special;1;Kyoto Animation;Light novel
8.32;Drama, Music, Romance, Shounen Ai, Slice of Life;TV;11;Lerche;Manga
8.32;Psychological, Drama, Fantasy;TV;12;CloverWorks;Original
8.31;Action, Adventure, Comedy, Historical, Romance, Samurai, Shounen;TV;94;Gallop, Studio Deen;Manga
8.31;Comedy, Drama, Music, Shounen, Slice of Life;TV;26;Madhouse;Manga
8.31;Drama, Romance, Sci-Fi, Seinen, Space;TV;26;Sunrise;Manga
8.31;Adventure, Fantasy, Romance, Sci-Fi;Movie;1;Studio Ghibli;Original
8.31;Adventure, Comedy, Supernatural;Movie;1;Studio Ghibli;Original
8.31;Adventure, Mystery, Police, Shounen;Movie;1;TMS Entertainment;Manga
8.31;Action, Adventure, Historical, Samurai;Movie;1;Bones;Original
8.31;Action, Adventure, Drama, Romance, Fantasy, Shounen;OVA;3;Production I.G;Manga
8.31;Adventure, Comedy, Parody, Supernatural, Magic, Fantasy;TV;10;Studio Deen;Light novel
8.31;Action, Game;ONA;3;Tencent Animation & Comics;Novel
8.3;Music, School, Drama;TV;13;Kyoto Animation;Novel
8.29;Action, Mecha, Police, Psychological, Sci-Fi, Seinen;Movie;1;Production I.G;Manga
8.29;Action, Adventure, Super Power, Fantasy, Shounen;OVA;14;Nippon Animation;Manga
8.29;Action, Cars, Drama, Seinen, Sports;TV;26;Gallop, Studio Comet;Manga
8.29;Comedy, Shounen, Sports;Special;1;Madhouse;Manga
8.29;Comedy, Drama;Movie;1;Madhouse;Original
8.29;Action, Sci-Fi, Cars, Sports;Movie;1;Madhouse;Original
8.29;Comedy, School, Shounen, Slice of Life;TV;11;A-1 Pictures;Manga
8.29;Ecchi, School, Shounen;TV;24;J.C.Staff;Manga
8.29;Psychological, Drama, Thriller, Fantasy;TV;25;White Fox;Light novel
8.29;Sci-Fi, Adventure, Shounen;TV;11;TMS Entertainment;Manga
8.28;Action, Drama, Shounen, Slice of Life, Sports;TV;79;Mushi Production;Manga
8.28;Game, Psychological, Thriller, Seinen;TV;26;Madhouse;Manga
8.28;Slice of Life, Comedy, School;TV;12;Sunrise;Web manga
8.28;Comedy, Sports, School, Shounen;TV;25;Production I.G;Manga
8.28;Action, Adventure, Magic, Fantasy, Shounen;TV;25;A-1 Pictures;Manga
8.28;Action, Military, Magic;Movie;1;Nut;Light novel
8.27;Comedy, Sports, Drama, Shounen;TV;26;Studio Hibari;Manga
8.27;Action, Adventure, Drama, Fantasy, Historical, Romance;Movie;1;Madhouse;Original
8.27;Drama, Shounen, Sports;TV;26;Studio Hibari;Manga
8.27;Adventure, Fantasy, Historical, Romance;TV;13;Imagin;Light novel
8.27;Comedy, Josei, Music, Romance;TV;11;J.C.Staff;Manga
8.27;Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen;Special;1;Sunrise;Manga
8.27;Space, Comedy, Sci-Fi;TV;13;Bones;Original
8.27;Slice of Life, Comedy, Drama, Romance, School;TV;13;feel.;Light novel
8.27;Adventure, Mystery, Comedy, Police, Shounen;Special;1;TMS Entertainment;Manga
8.27;Slice of Life, Comedy;TV;12;C-Station;Manga
8.27;Music;Music;1;Unknown;Music
8.26;Drama, Josei, Romance, Slice of Life;TV;12;J.C.Staff;Manga
8.26;Action, Fantasy, Magic, Supernatural;Movie;1;ufotable;Visual novel
8.26;Action, Mystery, Comedy, Historical, Demons, Supernatural, Shounen;Movie;1;A-1 Pictures;Manga
8.26;Sci-Fi, Thriller;Special;1;White Fox;Visual novel
8.25;Comedy, Drama, Shounen, Sports;TV;26;Studio Hibari;Manga
8.25;Mystery, Comedy, Psychological, Supernatural, Drama;TV;13;Production I.G;Manga
8.25;Comedy, School, Shounen;TV;77;Tatsunoko Production;Manga
8.25;Game, Psychological, Thriller, Seinen;TV;26;Madhouse;Manga
8.25;Action, Comedy, Super Power, School, Shounen;TV;25;Bones;Manga
8.25;Action, Sci-Fi, Super Power;TV;25;J.C.Staff;Manga
8.24;Action, Sci-Fi, Adventure, Comedy, Drama, Shounen;TV;26;Madhouse;Manga
8.24;Adventure, Comedy, Drama, Magic, Romance, Fantasy;Movie;1;Studio Ghibli;Novel
8.24;Comedy, Drama, Shounen, Sports;TV;26;SynergySP;Manga
8.24;Slice of Life, Comedy, Romance, School;TV;25;J.C.Staff;Light novel
8.24;Action, Police, Mystery, Shounen;Movie;1;Tokyo Movie Shinsha;Manga
8.24;Historical, Drama, Seinen;Movie;1;MAPPA;Manga
8.24;Sports, Cars, Seinen;TV;4;SynergySP;Manga
8.24;Action, Drama, Mecha, Sci-Fi, Space;TV;25;Sunrise;Original
7.64;Comedy, Supernatural;ONA;12;Unknown;Original
8.23;Comedy, Sports, Shounen;OVA;1;Madhouse;Manga
8.23;Slice of Life, Drama, Romance, Shoujo;Movie;1;Studio Ghibli;Manga
8.23;Mystery, Psychological, Supernatural, Thriller;TV;24;Studio Deen;Visual novel
8.23;Mystery, Supernatural;OVA;2;Production I.G;Unknown
8.23;Comedy, Drama, Romance, Shounen;TV;25;J.C.Staff;Manga
8.23;Drama, Game, Josei, School, Slice of Life, Sports;TV;25;Madhouse;Manga
8.23;Psychological, Drama, Magic, Thriller;Movie;1;Shaft;Original
8.23;Fantasy, Historical;Movie;1;Studio Ghibli;Other
8.23;Slice of Life, Comedy, Supernatural, Drama, Romance, School;TV;13;J.C.Staff;Visual novel
8.23;Military, School, Sports;Movie;1;Actas;Original
8.23;Comedy, Romance;Movie;1;Science SARU;Novel
8.23;Romance, School, Slice of Life;Special;4;TMS Entertainment;Web manga
8.23;Comedy, Sports, School, Shounen;TV;52;Madhouse;Manga
8.23;Action, Mystery, Comedy, Super Power, Drama, Martial Arts;ONA;10;Unknown;Original
8.22;Comedy, Drama, Fantasy, Magic, Romance, Shoujo;Movie;1;Madhouse;Manga
8.22;Action, Adventure, Comedy, Historical, Demons, Supernatural, Magic, Romance, Fantasy, Shounen;TV;26;Sunrise;Manga
8.22;Action, Fantasy, Magic, Supernatural;TV;12;ufotable;Visual novel
8.22;Action, Adventure, Comedy, Supernatural, Shounen;TV;13;Bones;Manga
8.22;Drama, Music, School;Movie;1;Kyoto Animation;Novel
8.22;Action, Drama, Military, Sci-Fi, Space;Movie;4;Production I.G;Novel
8.22;Comedy, Seinen, Slice of Life;Movie;1;SILVER LINK.;Manga
8.22;Comedy, School, Shounen, Slice of Life, Supernatural;Special;1;J.C.Staff, Egg Firm;Manga
8.21;Action, Adventure, Super Power, Fantasy, Shounen;OVA;8;Nippon Animation;Manga
8.21;Comedy, Drama, Shounen, Sports;OVA;1;SynergySP;Manga
8.21;Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Seinen, Supernatural;Movie;1;Studio 4�C;Manga
8.21;Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power;Special;1;Toei Animation;Manga
8.21;Ecchi, School, Shounen;TV;13;J.C.Staff;Manga
8.21;Action, Music, Sci-Fi;TV;13;Satelight;Original
8.21;Comedy, Drama, Romance, School, Shounen, Sports;TV;24;Production I.G;Manga
8.21;Comedy, Sci-Fi, Seinen, Slice of Life, Supernatural;TV;12;feel.;Manga
8.2;Comedy, Drama, Fantasy, Mystery, Psychological, Shoujo;TV;39;J.C.Staff;Original
8.2;Comedy, Harem, Romance, School, Shoujo;TV;26;Bones;Manga
8.2;Sci-Fi, Slice of Life, Fantasy, Shounen;TV;26;Hal Film Maker;Manga
8.2;Adventure, Drama, Romance, Sci-Fi;Movie;1;Madhouse;Novel
8.2;Game, Adventure, Comedy, Supernatural, Ecchi, Fantasy;TV;12;Madhouse;Light novel
8.2;Game, Mystery, Psychological, Drama, Thriller;TV;12;Madhouse;Original
8.2;Fantasy, Slice of Life, Supernatural;Movie;1;Kyoto Animation;Light novel
8.2;Comedy, Romance, Seinen, Slice of Life;Special;1;A-1 Pictures;4-koma manga
8.2;Action, Mystery, Seinen, Super Power, Supernatural;TV;12;Bones;Manga
8.2;Action, Adventure, Historical, Seinen;TV;12;Geno Studio;Manga
8.2;Comedy, Drama, Romance, Shoujo, Slice of Life, Supernatural;TV;25;TMS Entertainment;Manga
8.2;Action, Game;Movie;1;B.CMAY PICTURES;Novel
8.19;Action, Seinen;TV;12;Madhouse;Manga
8.19;Slice of Life, Comedy, Drama, Romance, School;TV;24;J.C.Staff;Light novel
8.19;Adventure, Mystery, Sci-Fi, Slice of Life;TV;12;White Fox;Web manga
8.19;Comedy, School;TV;12;Lerche;Manga
8.19;Action, Adventure, Demons, Historical, Samurai, Shounen, Supernatural;TV;24;Tezuka Productions, MAPPA;Manga
8.19;Action, Adventure, Comedy, Drama;Movie;1;Yumeta Company;Original
8.19;Music, Slice of Life, Drama, Romance, Shounen Ai;Movie;1;Lerche;Manga
8.18;Slice of Life, Comedy, Drama, Romance, Seinen;TV;96;Studio Deen;Manga
8.18;Action, Comedy, Shounen, Super Power;TV;203;Artland;Manga
8.18;Action, Mystery, Supernatural;TV;24;Brain's Base;Light novel
8.18;Action, Magic, Comedy, Sci-Fi, Drama;Movie;1;Seven Arcs;Original
8.18;Mystery, Comedy, Supernatural, Ecchi;TV;11;Shaft;Light novel
8.18;Action, Adventure, Comedy, Drama, Fantasy, Shounen;Movie;1;Toei Animation;Manga
8.18;Comedy, School, Seinen, Slice of Life;TV;12;SILVER LINK.;Manga
8.18;Romance, School;TV;12;feel.;Original
8.18;Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power;Movie;1;Toei Animation;Manga
8.18;Comedy, Supernatural, Magic, Fantasy;OVA;4;Lerche;Game
